DwellingType,ZoneType,UtilitiesType,BuildingType,HouseStyleType,OverallQuality,OverallConditions,YearBuilt,YearRemodel,RoofStyleType,RoofMaterial,ExteriorMaterial,ExteriorQuality,ExteriorConditions,FoundationMaterial,TotalBasementArea,HeatingType,HeatingQuality,HasAirConditioning,FirstFloorArea,SecondFloorArea,NumberOfBathrooms,NumberOfBedrooms,NumberOfKitchen,KitchenQuality,TotalNumberOfRooms,GarageType,GarageYearBuilt,GarageNumberOfCars,GarageArea,GarageQuality,GarageCondition,PoolArea,PoolQuality,FenceQuality,Label,Price,MoSold,YrSold
20,6,1,1,1,3,4,1968,2001,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1060,2,1,1,1060,0,1,3,1,2,6,2,1968,1,270,2,2,0,4,1,21600,216000,5,2010
20,6,1,1,1,4,3,2007,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1566,2,1,1,1600,0,2,3,1,2,7,2,2007,3,890,2,2,0,4,4,22600,226000,7,2009
20,6,1,1,1,3,4,1951,2000,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,900,2,3,1,900,0,1,3,1,2,5,6,2005,2,576,2,2,0,4,4,22670,226700,5,2010
20,6,1,1,1,4,3,2007,2008,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1704,2,1,1,1704,0,2,3,1,2,7,2,2008,3,772,2,2,0,4,4,22787.5,227875,5,2010
20,6,1,1,1,3,3,1957,1997,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1484,2,3,1,1600,0,1,2,1,3,6,2,1957,1,319,2,2,0,4,4,23900,239000,12,2006
30,8,1,1,1,2,3,1927,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,520,2,4,0,520,0,1,1,1,4,4,6,1920,1,240,2,2,0,4,4,24100,241000,5,2008
70,2,1,1,4,2,2,1920,1950,3,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,277ED534-9DD8-4468-B15F-989F6EEBB6D5,3,4,990666D4-DC69-4DB5-9525-8EA305C3904A,649,2,3,0,649,668,1,3,1,3,6,6,1920,1,250,2,2,0,4,1,25000,250000,7,2008
20,6,1,1,1,3,3,1966,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1228,2,2,1,1228,0,1,3,1,2,6,2,1966,1,271,2,2,0,4,1,25000,250000,6,2008
20,6,1,1,1,4,3,2007,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1234,2,1,1,1234,0,2,3,1,2,7,2,2007,2,484,2,2,0,4,4,25200,252000,1,2008
20,6,1,1,1,3,3,1959,1959,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,277ED534-9DD8-4468-B15F-989F6EEBB6D5,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1398,2,2,1,1700,0,1,4,1,2,6,2,1959,2,447,2,2,0,4,4,25267.8,252678,4,2010
120,6,1,4,1,5,3,2005,2005,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,1,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1561,2,1,1,1561,0,2,2,1,1,6,2,2005,2,556,2,2,0,4,4,25490,254900,8,2007
60,6,1,1,4,4,3,2004,2005,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1117,2,1,1,1132,1320,3,4,1,2,9,4,2004,3,691,2,2,0,4,4,26300,263000,9,2006
20,6,1,1,1,3,3,1994,1995,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1097,2,1,1,1097,0,1,3,1,3,6,2,1995,2,672,2,2,0,4,4,26343.5,263435,6,2009
20,6,1,1,1,3,3,1954,1990,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1297,2,2,1,1297,0,1,3,1,3,5,2,1954,2,498,2,2,0,4,4,26600,266000,10,2009
20,6,1,1,1,3,4,1953,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1057,2,3,1,1057,0,1,3,1,2,5,6,1953,1,246,2,2,0,4,4,27000,270000,1,2010
90,6,1,3,1,2,3,1955,1955,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,6798904E-1EFF-407F-8744-33C36445D544,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,0,2,3,0,1152,0,2,2,2,4,6,7,0,0,0,4,4,0,4,4,30347.7,303477,6,2008
20,6,1,1,1,3,3,1965,1965,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1088,2,1,1,1324,0,2,3,1,3,6,2,1965,2,440,2,2,0,4,2,31000,310000,12,2006
20,6,1,1,1,3,3,1959,1959,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1350,2,2,1,1328,0,1,2,1,3,5,2,1959,1,308,2,2,0,4,4,33975,339750,7,2007
85,6,1,1,7,3,4,1983,1983,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,840,2,2,1,884,0,1,2,1,2,5,2,1983,2,504,2,1,0,4,1,34000,340000,12,2007
20,6,1,1,1,3,3,1975,1980,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,938,2,3,1,938,0,1,3,1,3,5,6,1977,1,308,2,2,0,4,1,19600,196000,7,2008
20,6,1,1,1,3,3,1959,1959,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,277ED534-9DD8-4468-B15F-989F6EEBB6D5,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1150,2,1,1,1150,0,1,3,1,3,6,2,1959,1,300,2,2,0,4,4,19700,197000,5,2006
120,6,1,4,1,5,3,2005,2005,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,1,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1752,2,1,1,1752,0,2,2,1,1,6,2,2005,2,576,2,2,0,4,4,19990,199900,2,2010
50,6,1,1,2,4,3,2003,2003,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1434,2,1,1,1518,631,1,1,1,2,6,2,2003,2,670,2,2,0,4,4,20890,208900,8,2009
20,3,1,1,1,4,3,2006,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1656,2,1,1,1656,0,2,3,1,2,7,2,2006,3,826,2,2,0,4,4,32890,328900,7,2007
190,8,1,2,4,2,3,1920,2008,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,736,2,2,1,736,716,2,2,3,3,8,7,0,0,0,4,4,0,4,4,14415.2,144152,6,2009
20,6,1,1,1,3,4,1966,1966,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,955,2,1,1,955,0,1,3,1,3,6,2,1966,1,386,2,2,0,4,1,14600,146000,1,2007
60,6,1,1,4,3,3,1997,1997,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,794,2,2,1,794,676,2,3,1,3,6,2,1997,2,388,2,2,0,4,4,14740,147400,7,2007
50,8,1,1,2,3,3,1934,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,816,2,3,1,816,0,1,3,1,3,6,6,1985,2,528,2,2,0,4,1,14880,148800,9,2006
90,8,1,3,1,3,3,1963,1963,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,4,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,816,2,3,0,816,0,1,2,1,3,5,5,1963,2,516,2,2,0,4,4,15100,151000,5,2010
20,6,1,1,1,5,3,1981,1987,2,7E6E4E6B-0B57-4D3D-B816-9D8061E07589,0B095DC6-F3B5-4983-BEF6-32A383A62849,2,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1842,2,2,1,1842,0,0,0,1,2,5,2,1981,3,894,2,2,0,4,4,15100,151000,11,2006
80,6,1,1,8,3,3,1955,1955,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,384,2,3,1,1360,0,1,3,1,3,6,6,1962,2,572,2,2,0,4,1,15500,155000,2,2007
20,6,1,1,1,3,3,1964,1964,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1425,2,2,1,1425,0,2,3,1,3,7,2,1964,2,576,2,2,0,4,4,16000,160000,7,2008
160,3,1,5,4,4,3,1999,2000,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,970,2,1,1,983,756,2,3,1,2,7,2,1999,2,480,2,2,0,4,4,16450,164500,8,2009
60,6,1,1,4,4,3,2004,2004,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,860,2,1,1,860,860,2,3,1,2,7,2,2004,2,565,2,2,0,4,4,16470,164700,8,2006
60,6,1,1,4,5,3,2006,2006,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,1,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1410,2,1,1,1426,1519,3,3,1,2,10,4,2006,3,641,2,2,0,4,4,16500,165000,10,2006
20,6,1,1,1,3,4,1972,1972,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,780,2,1,1,780,0,1,2,1,3,4,6,1973,1,352,2,2,0,4,1,16850,168500,1,2008
20,6,1,1,1,3,3,2004,2004,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1158,2,1,1,1158,0,1,3,1,2,5,6,2006,2,576,2,2,0,4,4,17190,171900,5,2006
75,8,1,1,6,3,4,1920,1996,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,530,2,3,0,581,530,1,3,1,4,6,6,1935,1,288,2,2,0,4,4,17250,172500,3,2007
120,6,1,4,1,4,3,2006,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1370,2,1,1,1370,0,2,2,1,2,6,2,2006,2,484,2,2,0,4,4,17250,172500,10,2007
70,8,1,1,4,4,3,1921,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,E910036A-33BC-49FA-AC5A-405F75A50182,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,576,2,2,1,902,808,2,3,1,3,9,6,1990,2,480,2,2,0,4,1,17373.3,173733,4,2010
60,6,1,1,4,4,3,1997,1998,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1057,2,1,1,1057,977,2,3,1,2,8,2,1998,2,645,2,2,0,4,1,17400,174000,2,2009
60,6,1,1,4,4,3,2004,2005,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1143,2,1,1,1143,1330,2,4,1,2,9,4,2004,3,852,2,2,0,4,4,17600,176000,10,2007
20,6,1,1,1,4,3,1970,1989,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1947,2,3,1,2207,0,2,3,1,3,7,2,1970,2,576,2,2,0,4,4,17700,177000,7,2010
20,6,1,1,1,4,3,2003,2003,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1453,2,1,1,1479,0,2,3,1,2,7,2,2003,2,558,2,2,0,4,4,17750,177500,6,2007
30,8,1,1,1,2,3,1945,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,747,2,3,1,747,0,1,2,1,3,4,2,1945,1,220,2,2,0,4,4,17940,179400,6,2010
50,6,1,1,2,4,2,1953,1953,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,277ED534-9DD8-4468-B15F-989F6EEBB6D5,2,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1304,3,3,1,1304,983,2,3,1,3,7,2,1953,2,667,2,2,0,4,4,18390,183900,7,2006
20,6,1,1,1,4,3,1973,1973,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,2223,2,1,1,2223,0,2,3,1,3,8,2,1973,2,516,2,2,0,4,4,8200,82000,2,2007
20,6,1,1,1,2,3,1982,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,845,2,3,1,845,0,1,2,1,3,4,6,1987,2,360,2,2,0,4,4,10700,107000,6,2007
60,6,1,1,4,4,3,1998,1998,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,832,2,2,1,885,833,2,3,1,3,7,2,1998,2,427,2,2,0,4,4,11990,119900,12,2009
20,6,1,1,1,3,4,1954,2003,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1086,2,2,1,1086,0,1,3,1,3,6,2,1989,2,490,2,2,0,4,2,7900,79000,5,2010
50,8,1,1,4,2,3,1915,1950,3,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,840,2,2,0,840,765,2,3,2,3,8,6,1915,1,379,2,2,0,4,4,15943.4,159434,5,2010
180,8,1,5,8,2,3,1973,1973,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,AAE85B7F-8DAF-4D7F-8974-2B9F23B452AF,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,462,2,3,1,526,462,1,2,1,3,5,4,1973,1,297,2,2,0,4,2,14400,144000,11,2009
20,6,1,1,1,2,4,1956,1956,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,952,2,1,1,952,0,1,2,1,3,4,6,1956,1,283,2,2,0,4,4,13300,133000,4,2008
50,8,1,1,2,3,3,1948,2001,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,672,2,3,1,1072,213,1,2,1,3,6,6,1948,1,240,2,2,0,4,1,18100,181000,1,2008
90,6,1,3,1,2,3,1968,1968,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1768,2,3,0,1768,0,2,4,2,3,8,7,0,0,0,4,4,0,4,4,16000,160000,4,2010
50,8,1,1,4,3,3,1910,1981,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,440,2,2,1,682,548,1,2,1,3,5,6,1966,2,440,2,2,0,4,1,20000,200000,5,2009
